Round,Date,Time,Home Team,Score,Away Team,Venue
1,Saturday 5 April 2008,2:30 PM,Central Pulse,33 - 50,Melbourne Vixens,"TSB Bank Arena, Wellington"
1,Sunday 6 April 2008,1:00 PM,Queensland Firebirds,48 - 46,West Coast Fever,Brisbane Convention & Exhibition Centre
1,Sunday 6 April 2008,5:30 PM,Northern Mystics,44 - 48,Canterbury Tactix,"Trusts Stadium, Auckland"
1,Monday 7 April 2008,7:00 PM,Waikato Bay of Plenty Magic,46 - 42,Adelaide Thunderbirds,"Energy Events Centre, Rotorua"
1,Monday 7 April 2008,7:00 PM,New South Wales Swifts,53 - 42,Southern Steel,"Acer Arena, Sydney"
2,Saturday 12 April 2008,2:30 PM,Canterbury Tactix,50 - 44,New South Wales Swifts,"Westpac Centre, Christchurch"
2,Sunday 13 April 2008,1:30 PM,Melbourne Vixens,62 - 52,Queensland Firebirds,"State Netball and Hockey Centre,Melbourne"
2,Sunday 13 April 2008,5:30 PM,Waikato Bay of Plenty Magic,56 - 52,Northern Mystics,"Energy Events Centre, Rotorua"
2,Monday 14 April 2008,7:00 PM,Central Pulse,50 - 52,Southern Steel,"TSB Bank Arena, Wellington"
2,Monday 14 April 2008,6:00 PM,West Coast Fever,41 - 54,Adelaide Thunderbirds,"Challenge Stadium, Perth"
3,Saturday 19 April 2008,2:30 PM,Northern Mystics,45 - 49,West Coast Fever,"Trusts Stadium, Auckland"
3,Saturday 19 April 2008,2:30 PM,New South Wales Swifts,50 - 47,Waikato Bay of Plenty Magic,Newcastle Entertainment Centre
3,Sunday 20 April 2008,1:30 PM,Melbourne Vixens,38 - 39,Adelaide Thunderbirds,"Vodafone Arena, Melbourne"
3,Monday 21 April 2008,7:00 PM,Canterbury Tactix,42 - 51,Southern Steel,"Westpac Arena, Christchurch"
3,Monday 21 April 2008,7:00 PM,Queensland Firebirds,56 - 28,Central Pulse,Brisbane Convention & Exhibition Centre
4,Saturday 26 April 2008,2:30 PM,Waikato Bay of Plenty Magic,61 - 47,West Coast Fever,"Mystery Creek Events Centre,Hamilton"
4,Saturday 26 April 2008,2:30 PM,Queensland Firebirds,46 - 40,Northern Mystics,Brisbane Convention & Exhibition Centre
4,Sunday 27 April 2008,1:00 PM,Adelaide Thunderbirds,54 - 41,Southern Steel,"ETSA Park, Adelaide"
4,Monday 28 April 2008,7:00 PM,Canterbury Tactix,50 - 58,Melbourne Vixens,"Westpac Arena, Christchurch"
4,Monday 28 April 2008,7:00 PM,New South Wales Swifts,59 - 30,Central Pulse,Sydney Olympic Park Sports Centre
5,Saturday 3 May 2008,2:30 PM,Waikato Bay of Plenty Magic,54 - 37,Central Pulse,"Mystery Creek Events Centre,Hamilton"
5,Saturday 3 May 2008,12:30 PM,West Coast Fever,46 - 65,Queensland Firebirds,"Challenge Stadium, Perth"
5,Monday 5 May 2008,7:00 PM,Southern Steel,48 - 50,Northern Mystics,"Stadium Southland, Invercargill"
5,Monday 5 May 2008,7:00 PM,New South Wales Swifts,52 - 53,Melbourne Vixens,Newcastle Entertainment Centre
6,Saturday 10 May 2008,2:30 PM,Southern Steel,48 - 51,Canterbury Tactix,"Stadium Southland, Invercargill"
6,Saturday 10 May 2008,2:30 PM,Queensland Firebirds,66 - 52,New South Wales Swifts,Brisbane Convention & Exhibition Centre
6,Monday 12 May 2008,7:00 PM,Northern Mystics,45 - 59,Waikato Bay of Plenty Magic,"Trusts Stadium, Auckland"
6,Monday 12 May 2008,6:30 PM,Adelaide Thunderbirds,66 - 50,West Coast Fever,"ETSA Park, Adelaide"
7,Saturday 17 May 2008,2:30 PM,Central Pulse,50 - 55,Canterbury Tactix,"Arena Manawatu, Palmerston North"
7,Sunday 18 May 2008,1:00 PM,Adelaide Thunderbirds,46 - 52,Melbourne Vixens,"ETSA Park, Adelaide"
7,Monday 19 May 2008,7:00 PM,Waikato Bay of Plenty Magic,56 - 47,Southern Steel,"Mystery Creek Events Centre,Hamilton"
7,Monday 19 May 2008,7:00 PM,New South Wales Swifts,66 - 54,West Coast Fever,Sydney Olympic Park Sports Centre
8,Saturday 24 May 2008,2:30 PM,Canterbury Tactix,50 - 54,Waikato Bay of Plenty Magic,"Westpac Arena, Christchurch"
8,Sunday 25 May 2008,1:30 PM,Queensland Firebirds,60 - 51,Melbourne Vixens,Brisbane Convention & Exhibition Centre
8,Monday 26 May 2008,7:00 PM,Central Pulse,48 - 54,Northern Mystics,"TSB Bank Arena, Wellington"
8,Monday 26 May 2008,6:30 PM,Adelaide Thunderbirds,44 - 50,New South Wales Swifts,"ETSA Park, Adelaide"
9,Saturday 31 May 2008,2:30 PM,Southern Steel,41 - 29,Central Pulse,"Stadium Southland, Invercargill"
9,Sunday 1 June 2008,1:30 PM,Melbourne Vixens,57 - 44,West Coast Fever,"State Netball and Hockey Centre,Melbourne"
9,Monday 2 June 2008,7:00 PM,Northern Mystics,50 - 46,Canterbury Tactix,"Trusts Stadium, Auckland"
9,Monday 2 June 2008,7:00 PM,Queensland Firebirds,41 - 47,Adelaide Thunderbirds,Brisbane Convention & Exhibition Centre
10,Saturday 7 June 2008,2:30 PM,Southern Steel,47 - 46,Melbourne Vixens,"Stadium Southland, Invercargill"
10,Sunday 8 June 2008,1:00 PM,Adelaide Thunderbirds,61 - 41,Canterbury Tactix,"ETSA Park, Adelaide"
10,Sunday 8 June 2008,5:30 PM,Waikato Bay of Plenty Magic,56 - 50,Queensland Firebirds,"Energy Events Centre, Rotorua"
10,Monday 9 June 2008,7:00 PM,Northern Mystics,62 - 64,New South Wales Swifts,"Trusts Stadium, Auckland"
10,Monday 9 June 2008,6:00 PM,West Coast Fever,33 - 16,Central Pulse,"Challenge Stadium, Perth"
11,Saturday 14 June 2008,2:30 PM,Northern Mystics,47 - 48,Adelaide Thunderbirds,"Trusts Stadium, Auckland"
11,Sunday 15 June 2008,1:30 PM,New South Wales Swifts,61 - 60,Queensland Firebirds,Sydney Olympic Park Sports Centre
11,Sunday 15 June 2008,5:30 PM,Canterbury Tactix,50 - 49,Central Pulse,"Westpac Centre, Christchurch"
11,Monday 16 June 2008,7:00 PM,Southern Steel,58 - 43,West Coast Fever,"Edgar Centre, Dunedin"
11,Monday 16 June 2008,7:00 PM,Melbourne Vixens,47 - 40,Waikato Bay of Plenty Magic,"State Netball and Hockey Centre,Melbourne"
12,Saturday 21 June 2008,2:30 PM,Central Pulse,41 - 46,Waikato Bay of Plenty Magic,"TSB Bank Arena, Wellington"
12,Saturday 21 June 2008,12:30 PM,West Coast Fever,48 - 54,Melbourne Vixens,"Challenge Stadium, Perth"
12,Sunday 22 June 2008,1:30 PM,Queensland Firebirds,50 - 36,Canterbury Tactix,Brisbane Convention & Exhibition Centre
12,Monday 23 June 2008,7:00 PM,Northern Mystics,47 - 41,Southern Steel,"North Shore Events Centre, Auckland"
12,Monday 23 June 2008,7:00 PM,New South Wales Swifts,51 - 41,Adelaide Thunderbirds,Sydney Olympic Park Sports Centre
13,Saturday 28 June 2008,2:30 PM,Northern Mystics,42 - 28,Central Pulse,"North Shore Events Centre, Auckland"
13,Saturday 28 June 2008,2:00 PM,Adelaide Thunderbirds,66 - 47,Queensland Firebirds,"ETSA Park, Adelaide"
13,Sunday 29 June 2008,11:30 AM,West Coast Fever,50 - 44,Canterbury Tactix,"Challenge Stadium, Perth"
13,Monday 30 June 2008,7:00 PM,Southern Steel,47 - 43,Waikato Bay of Plenty Magic,"Stadium Southland, Invercargill"
13,Monday 30 June 2008,7:00 PM,Melbourne Vixens,49 - 62,New South Wales Swifts,"Vodafone Arena, Melbourne"
14,Saturday 5 July 2008,2:30 PM,Waikato Bay of Plenty Magic,69 - 44,Canterbury Tactix,"Mystery Creek Events Centre,Hamilton"
14,Sunday 6 July 2008,1:30 PM,Melbourne Vixens,56 - 47,Northern Mystics,"Vodafone Arena, Melbourne"
14,Sunday 6 July 2008,5:30 PM,Southern Steel,54 - 52,Queensland Firebirds,"Edgar Centre, Dunedin"
14,Monday 7 July 2008,7:00 PM,Central Pulse,32 - 44,Adelaide Thunderbirds,"Pettigrew Green Arena, Napier"
14,Monday 7 July 2008,6:00 PM,West Coast Fever,54 - 63,New South Wales Swifts,"Challenge Stadium, Perth"
15,Sunday 13 July 2008,5:30 PM,Waikato Bay of Plenty Magic,56 - 57,New South Wales Swifts,"Mystery Creek Events Centre,Hamilton"
15,Monday 14 July 2008,4:30 PM,Adelaide Thunderbirds,53 - 48,Melbourne Vixens,"ETSA Park, Adelaide"
16,Monday 21 July 2008,7:00 PM,Waikato Bay of Plenty Magic,51 - 49,Adelaide Thunderbirds,"Mystery Creek Events Centre,Hamilton"
17,Monday 28 July 2008,7:00 PM,New South Wales Swifts,65 - 56,Waikato Bay of Plenty Magic,"Acer Arena, Sydney"
1,Saturday 4 April 2009,2:00 PM,Southern Steel,55 - 46,Central Pulse,"Stadium Southland, Invercargill"
1,Saturday 4 April 2009,2:00 PM,Melbourne Vixens,57 - 44,West Coast Fever,"State Netball and Hockey Centre, Melbourne"
1,Sunday 5 April 2009,2:30 PM,Queensland Firebirds,48 - 60,Adelaide Thunderbirds,Brisbane Convention and Exhibition Centre
1,Monday 6 April 2009,7:00 PM,Northern Mystics,38 - 51,Waikato Bay of Plenty Magic,"Trusts Stadium, Auckland"
1,Monday 6 April 2009,7:00 PM,New South Wales Swifts,62 - 45,Canterbury Tactix,Sydney Olympic Park Sports Centre
2,Saturday 11 April 2009,2:00 PM,Waikato Bay of Plenty Magic,54 - 47,Southern Steel,"Queen Elizabeth Youth Centre, Tauranga"
2,Sunday 12 April 2009,2:00 PM,Adelaide Thunderbirds,48 - 47,New South Wales Swifts,"ETSA Park, Adelaide"
2,Sunday 12 April 2009,6:30 PM,Northern Mystics,54 - 50,Central Pulse,"North Shore Events Centre, Auckland"
2,Monday 13 April 2009,7:00 PM,Canterbury Tactix,52 - 44,West Coast Fever,"Westpac Arena, Christchurch"
2,Monday 13 April 2009,7:00 PM,Queensland Firebirds,51 - 54,Melbourne Vixens,Brisbane Convention and Exhibition Centre
3,Saturday 18 April 2009,2:00 PM,Central Pulse,46 - 58,Queensland Firebirds,"TSB Bank Arena, Wellington"
3,Sunday 19 April 2009,2:00 PM,Adelaide Thunderbirds,43 - 49,Melbourne Vixens,"ETSA Park, Adelaide"
3,Sunday 19 April 2009,6:30 PM,Southern Steel,52 - 48,Canterbury Tactix,"The Edgar Centre, Dunedin"
3,Monday 20 April 2009,7:00 PM,Waikato Bay of Plenty Magic,63 - 45,New South Wales Swifts,"Mystery Creek Events Centre, Hamilton"
3,Monday 20 April 2009,5:00 PM,West Coast Fever,57 - 46,Northern Mystics,"Challenge Stadium, Perth"
4,Saturday 25 April 2009,2:00 PM,Central Pulse,54 - 60,West Coast Fever,"Arena Manawatu, Palmerston North"
4,Saturday 25 April 2009,2:00 PM,Melbourne Vixens,48 - 31,Southern Steel,"State Netball and Hockey Centre, Melbourne"
4,Sunday 26 April 2009,2:30 PM,Queensland Firebirds,53 - 42,Waikato Bay of Plenty Magic,Brisbane Convention and Exhibition Centre
4,Monday 27 April 2009,7:00 PM,Canterbury Tactix,48 - 53,Adelaide Thunderbirds,"Westpac Arena, Christchurch"
4,Monday 27 April 2009,7:00 PM,New South Wales Swifts,59 - 55,Northern Mystics,Sydney Olympic Park Sports Centre
5,Saturday 2 May 2009,2:00 PM,Canterbury Tactix,48 - 50,Waikato Bay of Plenty Magic,"Westpac Arena, Christchurch"
5,Sunday 3 May 2009,2:30 PM,Melbourne Vixens,50 - 42,Adelaide Thunderbirds,"Hisense Arena, Melbourne"
5,Monday 4 May 2009,7:00 PM,Central Pulse,60 - 61,Northern Mystics,"TSB Bank Arena, Wellington"
5,Monday 4 May 2009,6:00 PM,West Coast Fever,67 - 66,New South Wales Swifts,"Challenge Stadium, Perth"
6,Saturday 9 May 2009,2:00 PM,Waikato Bay of Plenty Magic,59 - 36,Central Pulse,"Mystery Creek Events Centre, Hamilton"
6,Sunday 10 May 2009,2:30 PM,New South Wales Swifts,40 - 51,Adelaide Thunderbirds,Sydney Olympic Park Sports Centre
6,Monday 11 May 2009,7:00 PM,Northern Mystics,52 - 61,Southern Steel,"Trusts Stadium, Auckland"
6,Monday 11 May 2009,7:00 PM,Queensland Firebirds,56 - 53,West Coast Fever,Brisbane Convention and Exhibition Centre
7,Saturday 16 May 2009,2:00 PM,Canterbury Tactix,47 - 48,Southern Steel,"Westpac Arena, Christchurch"
7,Sunday 17 May 2009,12:30 PM,West Coast Fever,49 - 74,Melbourne Vixens,"Challenge Stadium, Perth"
7,Monday 18 May 2009,7:00 PM,Waikato Bay of Plenty Magic,50 - 35,Northern Mystics,"Energy Events Centre, Rotorua"
7,Monday 18 May 2009,7:00 PM,New South Wales Swifts,54 - 58,Queensland Firebirds,Sydney Olympic Park Sports Centre
8,Saturday 23 May 2009,2:00 PM,Canterbury Tactix,49 - 46,Central Pulse,"Westpac Arena, Christchurch"
8,Sunday 24 May 2009,2:00 PM,Adelaide Thunderbirds,51 - 50,Queensland Firebirds,"ETSA Park, Adelaide"
8,Monday 25 May 2009,7:00 PM,Southern Steel,39 - 48,Waikato Bay of Plenty Magic,"Stadium Southland, Invercargill"
8,Monday 25 May 2009,7:00 PM,Melbourne Vixens,65 - 63 ,New South Wales Swifts,"Hisense Arena, Melbourne"
9,Saturday 30 May 2009,2:00 PM,Central Pulse,44 - 66,Southern Steel,"TSB Bank Arena, Wellington"
9,Sunday 31 May 2009,2:30 PM,Melbourne Vixens,57 - 53,Queensland Firebirds,"Hisense Arena, Melbourne"
9,Monday 1 June 2009,7:00 PM,Northern Mystics,47 - 46,Canterbury Tactix,"Trusts Stadium, Auckland"
9,Monday 1 June 2009,6:00 PM,West Coast Fever,41 - 61,Adelaide Thunderbirds,"Challenge Stadium, Perth"
10,Saturday 6 June 2009,2:00 PM,Central Pulse,45 - 59,Canterbury Tactix,"Te Rauparaha Arena, Porirua"
10,Saturday 6 June 2009,1:30 PM,Adelaide Thunderbirds,58 - 34,Northern Mystics,"Adelaide Arena, Adelaide"
10,Sunday 7 June 2009,2:30 PM,Queensland Firebirds,62 - 61,New South Wales Swifts,Brisbane Convention and Exhibition Centre
10,Monday 8 June 2009,7:00 PM,Waikato Bay of Plenty Magic,55 - 48,Melbourne Vixens,"Queen Elizabeth Youth Centre, Tauranga"
10,Monday 8 June 2009,5:00 PM,West Coast Fever,59 - 48,Southern Steel,"Challenge Stadium, Perth"
11,Saturday 13 June 2009,2:00 PM,Canterbury Tactix,53 - 46,Queensland Firebirds,"Westpac Arena, Christchurch"
11,Sunday 14 June 2009,2:00 PM,Adelaide Thunderbirds,58 - 39,West Coast Fever,"ETSA Park, Adelaide"
11,Sunday 14 June 2009,6:30 PM,Central Pulse,35 - 67,Waikato Bay of Plenty Magic,"TSB Bank Arena, Wellington"
11,Monday 15 June 2009,7:00 PM,Southern Steel,52 - 50,Northern Mystics,"Stadium Southland, Invercargill"
11,Monday 15 June 2009,7:00 PM,New South Wales Swifts,52 - 63,Melbourne Vixens,Sydney Olympic Park Sports Centre
12,Saturday 20 June 2009,2:00 PM,Northern Mystics,57 - 61,Melbourne Vixens,"Trusts Stadium, Auckland"
12,Saturday 20 June 2009,1:30 PM,Adelaide Thunderbirds,70 - 40,Central Pulse,"ETSA Park, Adelaide"
12,Sunday 21 June 2009,2:30 PM,New South Wales Swifts,60 - 63,West Coast Fever,Sydney Olympic Park Sports Centre
12,Monday 22 June 2009,7:00 PM,Waikato Bay of Plenty Magic,50 - 46,Canterbury Tactix,"Energy Events Centre, Rotorua"
12,Monday 22 June 2009,7:00 PM,Queensland Firebirds,52 - 50,Southern Steel,Brisbane Convention and Exhibition Centre
13,Saturday 27 June 2009,2:00 PM,Northern Mystics,57 - 59,Queensland Firebirds,"Trusts Stadium, Auckland"
13,Sunday 28 June 2009,12:30 PM,West Coast Fever,38 - 49,Waikato Bay of Plenty Magic,"Challenge Stadium, Perth"
13,Sunday 28 June 2009,6:30 PM,Central Pulse,53 - 52,New South Wales Swifts,"Te Rauparaha Arena, Porirua"
13,Monday 29 June 2009,7:00 PM,Southern Steel,58 - 49,Adelaide Thunderbirds,"The Edgar Centre, Dunedin"
13,Monday 29 June 2009,7:00 PM,Melbourne Vixens,63 - 35,Canterbury Tactix,"Hisense Arena, Melbourne"
14,Saturday 4 July 2009,2:00 PM,Southern Steel,55 - 48,New South Wales Swifts,"Stadium Southland, Invercargill"
14,Saturday 4 July 2009,2:00 PM,Melbourne Vixens,80 - 39,Central Pulse,"Hisense Arena, Melbourne"
14,Sunday 5 July 2009,2:00 PM,Adelaide Thunderbirds,54 - 35,Waikato Bay of Plenty Magic,"Adelaide Arena, Adelaide"
14,Monday 6 July 2009,7:00 PM,Canterbury Tactix,63 - 56,Northern Mystics,"Westpac Arena, Christchurch"
14,Monday 6 July 2009,6:00 PM,West Coast Fever,52 - 54,Queensland Firebirds,"Challenge Stadium, Perth"
15,Sunday 12 July 2009,2:30 PM,Melbourne Vixens,58 - 43,Waikato Bay of Plenty Magic,"Hisense Arena, Melbourne"
15,Monday 13 July 2009,6:30 PM,Adelaide Thunderbirds,51 - 45,Southern Steel,"ETSA Park, Adelaide"
16,Sunday 19 July 2009,7:00 PM,Waikato Bay of Plenty Magic,37 - 51,Adelaide Thunderbirds,"Mystery Creek Events Centre, Hamilton"
17,Sunday 26 July 2009,2:30 PM,Melbourne Vixens,54 - 46,Adelaide Thunderbirds,"Hisense Arena, Melbourne"
1,Saturday 20 March 2010 ,2:20 PM,Northern Mystics,55 - 52,Adelaide Thunderbirds,"Trusts Stadium, Auckland"
1,Sunday 21 March 2010,4:50 PM,Queensland Firebirds,47 - 50,New South Wales Swifts,Gold Coast Convention and Exhibition Centre
1,Sunday 21 March 2010,6:50 PM,Southern Steel,46 - 44,West Coast Fever,"Stadium Southland, Invercargill"
1,Monday 22 March 2010,7:20 PM,Canterbury Tactix,54 - 48,Central Pulse,"Westpac Arena, Christchurch"
1,Monday 22 March 2010,9:05 PM,Melbourne Vixens,48 - 40,Waikato Bay of Plenty Magic,"Hisense Arena, Melbourne"
2,Saturday 27 March 2010,2:20 PM,Central Pulse,50 - 61,Northern Mystics,"Te Rauparaha Arena, Porirua"
2,Saturday 27 March 2010,4:20 PM,Adelaide Thunderbirds,38 - 45,New South Wales Swifts,"ETSA Park, Adelaide"
2,Sunday 28 March 2010,4:50 PM,Melbourne Vixens,53 - 46,Queensland Firebirds,"Hisense Arena, Melbourne"
2,Monday 29 March 2010 ,7:20 PM,Waikato Bay of Plenty Magic,47 - 41,Southern Steel,"Energy Events Centre, Rotorua"
2,Monday 29 March 2010 ,10:05 PM,West Coast Fever,62 - 44,Canterbury Tactix,"Challenge Stadium, Perth"
3,Saturday 3 April 2010 ,2:20 PM,Northern Mystics,46 - 55,Waikato Bay of Plenty Magic,"Trusts Stadium, Auckland"
3,Sunday 4 April 2010 ,4:50 PM,Queensland Firebirds,40 - 41,Adelaide Thunderbirds,Brisbane Convention and Exhibition Centre
3,Sunday 4 April 2010 ,6:50 PM,Canterbury Tactix,53 - 56,New South Wales Swifts,"Westpac Arena, Christchurch"
3,Monday 5 April 2010 ,7:20 PM,Southern Steel,56 - 44,Central Pulse,"Edgar Centre, Dunedin"
3,Monday 5 April 2010 ,10:05 PM,West Coast Fever,50 - 64,Melbourne Vixens,"Challenge Stadium, Perth"
4,Saturday 10 April 2010 ,2:20 PM,Waikato Bay of Plenty Magic,55 - 50,West Coast Fever,"Mystery Creek Events Centre, Hamilton"
4,Saturday 10 April 2010 ,4:20 PM,New South Wales Swifts,50 - 36,Central Pulse,"State Sports Centre, Sydney"
4,Sunday 11 April 2010 ,4:50 PM,Adelaide Thunderbirds,53 - 36,Southern Steel,"ETSA Park, Adelaide"
4,Monday 12 April 2010 ,7:20 PM,Canterbury Tactix,49 - 64,Melbourne Vixens,"Westpac Arena, Christchurch"
4,Monday 12 April 2010 ,9:05 PM,Queensland Firebirds,71 - 54,Northern Mystics,Brisbane Convention and Exhibition Centre
5,Saturday 17 April 2010 ,2:20 PM,Central Pulse,40 - 75,Adelaide Thunderbirds,"TSB Bank Arena, Wellington"
5,Sunday 18 April 2010 ,4:50 PM,New South Wales Swifts,55 - 43,West Coast Fever,Newcastle Entertainment Centre
5,Sunday 18 April 2010 ,6:50 PM,Canterbury Tactix,36 - 53,Waikato Bay of Plenty Magic,"Westpac Arena, Christchurch"
5,Monday 19 April 2010,7:20 PM,Southern Steel,41 - 56,Queensland Firebirds,"Stadium Southland, Invercargill"
5,Monday 19 April 2010 ,9:05 PM,Melbourne Vixens,62 - 51,Northern Mystics,"Hisense Arena, Melbourne"
6,Saturday 24 April 2010 ,2:20 PM,Northern Mystics,59 - 50,Canterbury Tactix,"Trusts Stadium, Auckland"
6,Sunday 25 April 2010 ,4:20 PM,Queensland Firebirds,62 - 41,Melbourne Vixens,Brisbane Convention and Exhibition Centre
6,Monday 26 April 2010 ,7:20 PM,Central Pulse,40 - 64,Southern Steel,"TSB Bank Arena, Wellington"
6,Monday 26 April 2010 ,10:05 PM,West Coast Fever,37 - 57,Adelaide Thunderbirds,"Challenge Stadium, Perth"
7,Saturday 1 May 2010 ,2:20 PM,Canterbury Tactix,38 - 66,Southern Steel,"Westpac Arena, Christchurch"
7,Sunday 2 May 2010 ,4:50 PM,New South Wales Swifts,56 - 42,Melbourne Vixens,"Acer Arena, Sydney"
7,Monday 3 May 2010,7:20 PM,Waikato Bay of Plenty Magic,49 - 46,Northern Mystics,"Mystery Creek Events Centre, Hamilton"
7,Monday 3 May 2010 ,9:05 PM,Queensland Firebirds,63 - 57,West Coast Fever,Brisbane Convention and Exhibition Centre
8,Saturday 8 May 2010,2:20 PM,Waikato Bay of Plenty Magic,56 - 44,Central Pulse,"Energy Events Centre, Rotorua"
8,Sunday 9 May 2010 ,4:50 PM,New South Wales Swifts,60 - 44,Adelaide Thunderbirds,"State Sports Centre, Sydney"
8,Monday 10 May 2010 ,7:20 PM,Southern Steel,49 - 52,Northern Mystics,"Stadium Southland, Invercargill"
8,Monday 10 May 2010 ,9:05 PM,Melbourne Vixens,53 - 56,West Coast Fever,"Hisense Arena, Melbourne"
9,Saturday 15 May 2010,2:20 PM,Waikato Bay of Plenty Magic,72 - 52,Canterbury Tactix,"Mystery Creek Events Centre, Hamilton"
9,Sunday 16 May 2010,4:50 PM,Adelaide Thunderbirds,58 - 47,Melbourne Vixens,"ETSA Park, Adelaide"
9,Monday 17 May 2010,7:20 PM,Northern Mystics,61 - 60,Central Pulse,"Trusts Stadium, Auckland"
9,Monday 17 May 2010,9:05 PM,New South Wales Swifts,44 - 40,Queensland Firebirds,"State Sports Centre, Sydney"
10,Saturday 22 May 2010 ,2:20 PM,Central Pulse,45 - 43,Canterbury Tactix,"TSB Bank Arena, Wellington"
10,Sunday 23 May 2010 ,4:50 PM,Adelaide Thunderbirds,53 - 51,Queensland Firebirds,"ETSA Park, Adelaide"
10,Monday 24 May 2010,7:20 PM,Southern Steel,52 - 47,Waikato Bay of Plenty Magic,"Stadium Southland, Invercargill"
10,Monday 24 May 2010,10:05 PM,West Coast Fever,52 - 61,New South Wales Swifts,"Challenge Stadium, Perth"
11,Saturday 29 May 2010,2:20 PM,Northern Mystics,48 - 54,New South Wales Swifts,"Trusts Stadium, Auckland"
11,Sunday 30 May 2010 ,4:50 PM,Adelaide Thunderbirds,58 - 34,Canterbury Tactix,"ETSA Park, Adelaide"
11,Sunday 30 May 2010 ,6:50 PM,Southern Steel,52 - 39,Melbourne Vixens,"Edgar Centre, Dunedin"
11,Monday 31 May 2010,7:20 PM,Waikato Bay of Plenty Magic,54 - 55,Queensland Firebirds,"Energy Events Centre, Rotorua"
11,Monday 31 May 2010 ,7:20 PM,West Coast Fever,63 - 45,Central Pulse,"Challenge Stadium, Perth"
12,Saturday 5 June 2010 ,2:20 PM,Northern Mystics,62 - 53,West Coast Fever,"North Shore Events Centre, Auckland"
12,Saturday 5 June 2010 ,4:20 PM,Queensland Firebirds,52 - 42,Central Pulse,Brisbane Convention and Exhibition Centre
12,Sunday 6 June 2010,4:50 PM,Melbourne Vixens,43 - 54,Adelaide Thunderbirds,"Hisense Arena, Melbourne"
12,Monday 7 June 2010 ,7:20 PM,Southern Steel,53 - 39,Canterbury Tactix,"Stadium Southland, Invercargill"
12,Monday 7 June 2010 ,9:05 PM,New South Wales Swifts,60 - 43,Waikato Bay of Plenty Magic,"State Sports Centre, Sydney"
13,Saturday 12 June 2010 ,2:20 PM,Central Pulse,52 - 58,Waikato Bay of Plenty Magic,"Pettigrew Green Arena, Napier"
13,Saturday 12 June 2010 ,4:20 PM,Melbourne Vixens,46 - 58,New South Wales Swifts,"Hisense Arena, Melbourne"
13,Sunday 13 June 2010 ,4:50 PM,Adelaide Thunderbirds,54 - 45,West Coast Fever,"Adelaide Arena, Adelaide"
13,Monday 14 June 2010,7:20 PM,Northern Mystics,43 - 50,Southern Steel,"Trusts Stadium, Auckland"
13,Monday 14 June 2010 ,9:05 PM,Queensland Firebirds,75 - 32,Canterbury Tactix,Brisbane Convention and Exhibition Centre
14,Saturday 19 June 2010 ,2:20 PM,Waikato Bay of Plenty Magic,53 - 44,Adelaide Thunderbirds,"Energy Events Centre, Rotorua"
14,Sunday 20 June 2010,4:50 PM,West Coast Fever,67 - 59,Queensland Firebirds,"Challenge Stadium, Perth"
