Round,Date,Time,Home Team,Score,Away Team,Venue
14,Sunday 20 June 2010 ,6:50 PM,Canterbury Tactix,47 - 58,Northern Mystics,"Westpac Arena, Christchurch"
14,Monday 21 June 2010 ,7:20 PM,Central Pulse,48 - 49,Melbourne Vixens,"Te Rauparaha Arena, Porirua"
14,Monday 21 June 2010,9:05 PM,New South Wales Swifts,55 - 38,Southern Steel,"State Sports Centre, Sydney"
15,Sunday 27 June 2010,4:50 PM,New South Wales Swifts,38 - 52,Adelaide Thunderbirds,"Acer Arena, Sydney"
15,Monday 28 June 2010,7:20 PM,Waikato Bay of Plenty Magic,50 - 42,Southern Steel,"Vector Arena, Auckland "
16,Sunday 4 July 2010,4:50 PM,New South Wales Swifts,49 - 54,Waikato Bay of Plenty Magic,Newcastle Entertainment Centre
17,Sunday 11 July 2010,5:00 PM,Adelaide Thunderbirds,52 - 42,Waikato Bay of Plenty Magic,Adelaide Entertainment Centre
1,Sunday 13 February 2011,,New South Wales Swifts,60 - 40,Adelaide Thunderbirds,"State Sports Centre, Sydney"
1,Monday 14 February 2011,,Northern Mystics,51 - 34,Southern Steel,"Trusts Stadium, Auckland"
2,Saturday 19 February 2011,,Central Pulse,44 - 54,Northern Mystics,"Te Rauparaha Arena, Porirua"
2,Sunday 20 February 2011,,Adelaide Thunderbirds,47 - 65,Melbourne Vixens,"ETSA Park, Adelaide"
2,Sunday 20 February 2011,,Waikato Bay of Plenty Magic,51 - 36,Southern Steel,"Energy Events Centre, Rotorua"
2,Monday 21 February 2011,,Canterbury Tactix,48 - 54,West Coast Fever,"CBS Canterbury Arena, Christchurch"
2,Monday 21 February 2011,,Queensland Firebirds,51 - 48,New South Wales Swifts,Brisbane Convention and Exhibition Centre
3,Thursday 24 February 2011,,Northern Mystics,39 - 45,Waikato Bay of Plenty Magic,"Trusts Stadium, Auckland"
3,Thursday 24 February 2011,,West Coast Fever,53 - 72,Adelaide Thunderbirds,"Challenge Stadium, Perth"
3,Saturday 26 February 2011,,Central Pulse,43 - 45,Southern Steel,"Te Rauparaha Arena, Porirua"
3,Saturday 26 February 2011,,Queensland Firebirds,64 - 41,Adelaide Thunderbirds,Brisbane Convention and Exhibition Centre
3,Sunday 27 February 2011,,New South Wales Swifts,45 - 49,Melbourne Vixens,"State Sports Centre, Sydney"
3,Thursday 7 April 2011,,Canterbury Tactix,45 - 58,Northern Mystics,"Vector Arena, Auckland"
3,Monday 28 February 2011,,Central Pulse,44 - 46,Waikato Bay of Plenty Magic,"TSB Bank Arena, Wellington"
3,Monday 28 February 2011,,West Coast Fever,38 - 62,Queensland Firebirds,"Challenge Stadium, Perth"
4,Saturday 5 March 2011,,Adelaide Thunderbirds,51 - 41,Central Pulse,"ETSA Park, Adelaide"
4,Sunday 6 March 2011,,Queensland Firebirds,51 - 36,Southern Steel,Brisbane Convention and Exhibition Centre
4,Sunday 6 March 2011,,Northern Mystics,56 - 54,Melbourne Vixens,"Trusts Stadium, Auckland"
4,Monday 7 March 2011,,Canterbury Tactix,56 - 63,Waikato Bay of Plenty Magic,"Energy Events Centre, Rotorua*"
4,Monday 7 March 2011,,New South Wales Swifts,55 - 51,West Coast Fever,"State Sports Centre, Sydney"
5,Saturday 12 March 2011,,Melbourne Vixens,70 - 39,West Coast Fever,"State Netball and Hockey Centre,Melbourne"
5,Sunday 13 March 2011,,Adelaide Thunderbirds,42 - 64,Queensland Firebirds,"ETSA Park, Adelaide"
5,Sunday 13 March 2011,,Waikato Bay of Plenty Magic,46 - 47,Northern Mystics,"Mystery Creek Events Centre, Hamilton"
5,Monday 14 March 2011,,Southern Steel,50 - 44,Central Pulse,Invercargill ILT Velodrome
5,Monday 14 March 2011,,New South Wales Swifts,54 - 45,Canterbury Tactix,"State Sports Centre, Sydney"
6,Thursday 17 March 2011,,West Coast Fever,49 - 70,New South Wales Swifts,"Challenge Stadium, Perth"
6,Saturday 19 March 2011,,West Coast Fever,50 - 47,Southern Steel,"Challenge Stadium, Perth"
6,Sunday 20 March 2011,,New South Wales Swifts,53 - 57,Queensland Firebirds,"State Sports Centre, Sydney"
6,Sunday 20 March 2011,,Central Pulse,46 - 43,Canterbury Tactix,"Arena Manawatu, Palmerston North"
6,Monday 21 March 2011,,Waikato Bay of Plenty Magic,53 - 41,Melbourne Vixens,"Mystery Creek Events Centre, Hamilton"
6,Monday 21 March 2011,,Adelaide Thunderbirds,57 - 55,Northern Mystics,"ETSA Park, Adelaide"
7,Saturday 26 March 2011,,Northern Mystics,52 - 61,Queensland Firebirds,"Trusts Stadium, Auckland"
7,Sunday 27 March 2011,,Melbourne Vixens,65 - 50,Canterbury Tactix,"Hisense Arena, Melbourne"
7,Sunday 27 March 2011,,Central Pulse,43 - 48,New South Wales Swifts,"TSB Bank Arena, Wellington"
7,Monday 28 March 2011,,Southern Steel,52 - 48,Adelaide Thunderbirds,Invercargill ILT Velodrome
7,Monday 28 March 2011,,West Coast Fever,41 - 42,Waikato Bay of Plenty Magic,"Challenge Stadium, Perth"
8,Thursday 31 March 2011,,Canterbury Tactix,49 - 44,Southern Steel,"CBS Canterbury Arena, Christchurch"
8,Thursday 31 March 2011,,Melbourne Vixens,42 - 52,Queensland Firebirds,"State Netball and Hockey Centre,Melbourne"
8,Saturday 2 April 2011,,Northern Mystics,61 - 48,Central Pulse,"Trusts Stadium, Auckland"
8,Sunday 3 April 2011,,Melbourne Vixens,42 - 33,Southern Steel,"Hisense Arena, Melbourne"
8,Sunday 3 April 2011,,Canterbury Tactix,56 - 59,Adelaide Thunderbirds,"CBS Canterbury Arena, Christchurch"
8,Monday 4 April 2011,,Central Pulse,63 - 61,West Coast Fever,"Te Rauparaha Arena, Porirua"
8,Monday 4 April 2011,,Queensland Firebirds,53 - 49,Waikato Bay of Plenty Magic,Brisbane Convention and Exhibition Centre
9,Saturday 9 April 2011,,Southern Steel,49 - 40,Canterbury Tactix,"Edgar Centre, Dunedin"
9,Sunday 10 April 2011,,Melbourne Vixens,55 - 53,Adelaide Thunderbirds,"Hisense Arena, Melbourne"
9,Sunday 10 April 2011,,Central Pulse,44 - 61,Queensland Firebirds,"Te Rauparaha Arena, Porirua"
9,Monday 11 April 2011,,Waikato Bay of Plenty Magic,46 - 53,New South Wales Swifts,"Queen Elizabeth Youth Centre, Tauranga"
9,Monday 11 April 2011,,West Coast Fever,54 - 56,Northern Mystics,"Challenge Stadium, Perth"
10,Thursday 14 April 2011,,Waikato Bay of Plenty Magic,53 - 49,Canterbury Tactix,"Energy Events Centre, Rotorua"
10,Thursday 14 April 2011,,Queensland Firebirds,57 - 36,Melbourne Vixens,Brisbane Convention and Exhibition Centre
10,Saturday 16 April 2011,,Adelaide Thunderbirds,57 - 53,New South Wales Swifts,"ETSA Park, Adelaide"
10,Sunday 17 April 2011,,West Coast Fever,38 - 54,Melbourne Vixens,"Challenge Stadium, Perth"
10,Sunday 17 April 2011,,Southern Steel,33 - 38,Waikato Bay of Plenty Magic,Invercargill ILT Velodrome
10,Monday 18 April 2011,,Canterbury Tactix,45 - 47,Central Pulse,"CBS Canterbury Arena, Christchurch"
10,Monday 18 April 2011,,New South Wales Swifts,53 - 46,Northern Mystics,"State Sports Centre, Sydney"
11,Thursday 21 April 2011,,Southern Steel,39 - 40,New South Wales Swifts,"Edgar Centre, Dunedin"
11,Saturday 23 April 2011,,Melbourne Vixens,58 - 42,Central Pulse,"Hisense Arena, Melbourne"
11,Sunday 24 April 2011,,Adelaide Thunderbirds,36 - 55,Waikato Bay of Plenty Magic,"ETSA Park, Adelaide"
11,Sunday 24 April 2011,,Northern Mystics,62 - 43,Canterbury Tactix,"Trusts Stadium, Auckland"
11,Monday 25 April 2011,,Queensland Firebirds,56 - 54,West Coast Fever,Brisbane Convention and Exhibition Centre
12,Saturday 30 April 2011,,Canterbury Tactix,52 - 69,Queensland Firebirds,"CBS Canterbury Arena, Christchurch"
12,Sunday 1 May 2011,,Melbourne Vixens,33 - 45,New South Wales Swifts,"Hisense Arena, Melbourne"
12,Sunday 1 May 2011,,Southern Steel,35 - 47,Northern Mystics,Invercargill ILT Velodrome
12,Monday 2 May 2011,,Waikato Bay of Plenty Magic,60 - 50,Central Pulse,Taupo Events Centre
12,Monday 2 May 2011,,Adelaide Thunderbirds,59 - 64,West Coast Fever,"ETSA Park, Adelaide"
15,Monday 9 May 2011,,Queensland Firebirds,50 - 39,Waikato Bay of Plenty Magic,Gold Coast Convention and Exhibition Centre
15,Sunday 8 May 2011,,New South Wales Swifts,44 - 49,Northern Mystics,"State Sports Centre, Sydney"
16,Sunday 15 May 2011,,Waikato Bay of Plenty Magic,42 - 43,Northern Mystics,"Mystery Creek Events Centre, Hamilton"
17,Sunday 22 May 2011,,Queensland Firebirds,57 - 44,Northern Mystics,Brisbane Convention & Exhibition Centre
1,Saturday 31 March 2012,,Adelaide Thunderbirds,57 - 40,New South Wales Swifts,"Netball SA Stadium, Adelaide"
1,Sunday 1 April 2012,,Queensland Firebirds,42 - 47,Melbourne Vixens,Brisbane Convention and Exhibition Centre
1,Sunday 1 April 2012,,Northern Mystics,51 - 47,Central Pulse,"Trusts Stadium, Auckland"
1,Monday 2 April 2012,,Southern Steel,49 - 47,Waikato Bay of Plenty Magic,"Stadium Southland Velodrome,Invercargill"
1,Monday 2 April 2012,,West Coast Fever,55 - 35,Canterbury Tactix,"Challenge Stadium, Perth"
2,Saturday 7 April 2012,,Central Pulse,47 - 42,Southern Steel,"Pettigrew Green Arena, Napier"
2,Sunday 8 April 2012,,Queensland Firebirds,44 - 54,Adelaide Thunderbirds,Brisbane Convention and Exhibition Centre
2,Sunday 8 April 2012,,West Coast Fever,41 - 50,Melbourne Vixens,"Challenge Stadium, Perth"
2,Sunday 8 April 2012,,Waikato Bay of Plenty Magic,41 - 47,Northern Mystics,"Claudelands Arena, Hamilton"
2,Monday 9 April 2012,,Canterbury Tactix,54 - 51,New South Wales Swifts,"CBS Canterbury Arena, Christchurch"
3,Sunday 15 April 2012,,Queensland Firebirds,58 - 32,Central Pulse,Brisbane Convention and Exhibition Centre
3,Sunday 15 April 2012,,Adelaide Thunderbirds,34 - 48,Melbourne Vixens,"Netball SA Stadium, Adelaide"
3,Sunday 15 April 2012,,Canterbury Tactix,53 - 55,Southern Steel,"CBS Canterbury Arena, Christchurch"
3,Monday 16 April 2012,,Northern Mystics,52 - 45,West Coast Fever,"Trusts Stadium, Auckland"
3,Monday 16 April 2012,,New South Wales Swifts,49 - 47,Waikato Bay of Plenty Magic,"State Sports Centre, Sydney"
4,Saturday 21 April 2012,,Southern Steel,53 - 56,West Coast Fever,"Lion Foundation Arena, Dunedin"
4,Sunday 22 April 2012,,Melbourne Vixens,40 - 39,Waikato Bay of Plenty Magic,"Hisense Arena, Melbourne"
4,Sunday 22 April 2012,,New South Wales Swifts,54 - 49,Queensland Firebirds,"State Sports Centre, Sydney"
4,Sunday 22 April 2012,,Northern Mystics,48 - 50,Adelaide Thunderbirds,"Trusts Stadium, Auckland"
4,Monday 23 April 2012,,Central Pulse,50 - 45,Canterbury Tactix,"Te Rauparaha Arena, Porirua"
5,Sunday 29 April 2012,,West Coast Fever,36 - 48,Adelaide Thunderbirds,"Challenge Stadium, Perth"
5,Sunday 29 April 2012,,Melbourne Vixens,52 - 51,Queensland Firebirds,"Hisense Arena, Melbourne"
5,Sunday 29 April 2012,,Central Pulse,47 - 51,Northern Mystics,"Arena Manawatu, Palmerston North"
5,Monday 30 April 2012,,Waikato Bay of Plenty Magic,61 - 52,Canterbury Tactix,"Energy Events Centre, Rotorua"
6,Sunday 6 May 2012,,New South Wales Swifts,39 - 36,Central Pulse,"State Sports Centre, Sydney"
6,Sunday 6 May 2012,,Queensland Firebirds,56 - 43,Northern Mystics,Gold Coast Convention and Exhibition Centre
6,Sunday 6 May 2012,,Waikato Bay of Plenty Magic,65 - 49,West Coast Fever,"TECT Arena, Tauranga"
6,Monday 7 May 2012,,Canterbury Tactix,41 - 65,Melbourne Vixens,"CBS Canterbury Arena, Christchurch"
6,Monday 7 May 2012,,Adelaide Thunderbirds,58 - 48,Southern Steel,"Netball SA Stadium, Adelaide"
7,Sunday 13 May 2012,,Adelaide Thunderbirds,60 - 43,West Coast Fever,"Netball SA Stadium, Adelaide"
7,Sunday 13 May 2012,,New South Wales Swifts,55 - 52,Melbourne Vixens,"Allphones Arena, Sydney"
7,Sunday 13 May 2012,,Southern Steel,45 - 49,Northern Mystics,"Lion Foundation Arena, Dunedin"
7,Monday 14 May 2012,,Central Pulse,46 - 56,Waikato Bay of Plenty Magic,"Te Rauparaha Arena, Porirua"
7,Monday 14 May 2012,,Queensland Firebirds,64 - 48,Canterbury Tactix,Brisbane Convention and Exhibition Centre
8,Saturday 19 May 2012,,Canterbury Tactix,42 - 65,Waikato Bay of Plenty Magic,"CBS Canterbury Arena, Christchurch"
8,Sunday 20 May 2012,,Melbourne Vixens,45 - 49,Northern Mystics,"Hisense Arena, Melbourne"
8,Sunday 20 May 2012,,New South Wales Swifts,52 - 47,West Coast Fever,Newcastle Entertainment Centre
8,Sunday 20 May 2012,,Southern Steel,60 - 61,Queensland Firebirds,"Stadium Southland Velodrome,Invercargill"
8,Monday 21 May 2012,,Central Pulse,47 - 46,Adelaide Thunderbirds,"TSB Bank Arena, Wellington"
9,Sunday 27 May 2012,,West Coast Fever,55 - 56,Queensland Firebirds,"Challenge Stadium, Perth"
9,Sunday 27 May 2012,,Melbourne Vixens,43 - 49,New South Wales Swifts,"Hisense Arena, Melbourne"
9,Sunday 27 May 2012,,Northern Mystics,57 - 56,Canterbury Tactix,"Trusts Stadium, Auckland"
9,Monday 28 May 2012,,Southern Steel,50 - 58,Central Pulse,"Lion Foundation Arena, Dunedin"
10,Sunday 3 June 2012,,Queensland Firebirds,50 - 45,New South Wales Swifts,Brisbane Convention and Exhibition Centre
10,Sunday 3 June 2012,,Melbourne Vixens,48 - 40,Adelaide Thunderbirds,"Hisense Arena, Melbourne"
10,Sunday 3 June 2012,,Canterbury Tactix,47 - 54,Central Pulse,"CBS Canterbury Arena, Christchurch"
10,Monday 4 June 2012,,Waikato Bay of Plenty Magic,66 - 47,Southern Steel,"Claudelands Arena, Hamilton"
11,Sunday 10 June 2012,,Adelaide Thunderbirds,54 - 49,Queensland Firebirds,"Netball SA Stadium, Adelaide"
11,Sunday 10 June 2012,,West Coast Fever,49 - 51,New South Wales Swifts,"Challenge Stadium, Perth"
11,Sunday 10 June 2012,,Waikato Bay of Plenty Magic,52 - 42,Central Pulse,"TECT Arena, Tauranga"
11,Monday 11 June 2012,,Northern Mystics,60 - 49,Southern Steel,"Trusts Stadium, Auckland"
12,Sunday 17 June 2012,,Melbourne Vixens,50 - 49,West Coast Fever,"Hisense Arena, Melbourne"
12,Sunday 17 June 2012,,New South Wales Swifts,35 - 62,Adelaide Thunderbirds,"State Sports Centre, Sydney"
12,Sunday 17 June 2012,,Northern Mystics,46 - 48,Waikato Bay of Plenty Magic,"Trusts Stadium, Auckland"
12,Monday 18 June 2012,,Southern Steel,61 - 62,Canterbury Tactix,Invercargill ILT Velodrome
13,Saturday 23 June 2012,,Waikato Bay of Plenty Magic,59 - 42,Adelaide Thunderbirds,"TECT Arena, Tauranga"
13,Sunday 24 June 2012,,New South Wales Swifts,55 - 42,Southern Steel,"State Sports Centre, Sydney"
13,Sunday 24 June 2012,,Queensland Firebirds,63 - 43,West Coast Fever,Brisbane Convention and Exhibition Centre
13,Sunday 24 June 2012,,Canterbury Tactix,55 - 64,Northern Mystics,"CBS Canterbury Arena, Christchurch"
13,Monday 25 June 2012,,Central Pulse,41 - 49,Melbourne Vixens,"Te Rauparaha, Porirua"
14,Saturday 30 June 2012,,Southern Steel,38 - 56,Melbourne Vixens,Invercargill ILT Velodrome
14,Sunday 1 July 2012,,Adelaide Thunderbirds,65 - 44,Canterbury Tactix,"Netball SA Stadium, Adelaide"
14,Sunday 1 July 2012,,West Coast Fever,40 - 38,Central Pulse,"Challenge Stadium, Perth"
14,Sunday 1 July 2012,,Northern Mystics,50 - 49,New South Wales Swifts,"Trusts Stadium, Auckland"
14,Monday 2 July 2012,,Waikato Bay of Plenty Magic,53 - 43,Queensland Firebirds,"Claudelands Arena, Hamilton"
15,Sunday 8 July 2012,,Melbourne Vixens,56 - 50,Northern Mystics,"Rod Laver Arena, Melbourne"
15,Monday 9 July 2012,,Waikato Bay of Plenty Magic,49 - 48,Adelaide Thunderbirds,"Claudelands Arena, Hamilton"
16,Monday 16 July 2012,,Northern Mystics,48 - 57,Waikato Bay of Plenty Magic,"Trusts Stadium, Auckland"
17,Sunday 22 July 2012,,Melbourne Vixens,38 - 41,Waikato Bay of Plenty Magic,"Hisense Arena, Melbourne"
1,Sunday 24 March 2013,,Queensland Firebirds,68 - 59,Southern Steel,Brisbane Convention and Exhibition Centre
1,Sunday 24 March 2013,,Adelaide Thunderbirds,49 - 42,Central Pulse,"Netball SA Stadium, Adelaide"
1,Sunday 24 March 2013,,Canterbury Tactix,46 - 69,Waikato Bay of Plenty Magic,"Trafalgar Centre, Nelson"
1,Monday 25 March 2013,,Northern Mystics,46 - 60,Melbourne Vixens,"Trusts Stadium, Auckland"
1,Monday 25 March 2013,,New South Wales Swifts,55 - 41,West Coast Fever,"State Sports Centre, Sydney"
2,Saturday 30 March 2013,,Canterbury Tactix,56 - 75,Southern Steel,"CBS Canterbury Arena, Christchurch"
2,Sunday 31 March 2013,,Melbourne Vixens,58 - 44,Adelaide Thunderbirds,"Hisense Arena, Melbourne"
2,Sunday 31 March 2013,,West Coast Fever,80 - 53,Northern Mystics,"Challenge Stadium, Perth"
2,Sunday 31 March 2013,,Waikato Bay of Plenty Magic,61 - 35,New South Wales Swifts,"ASB Baypark Arena, Tauranga"
2,Monday 1 April 2013,,Central Pulse,56 - 58,Queensland Firebirds,"Te Rauparaha Arena, Porirua"
3,Saturday 6 April 2013,,Southern Steel,54 - 60,Adelaide Thunderbirds,"Lion Foundation Arena, Dunedin"
3,Sunday 7 April 2013,,West Coast Fever,57 - 51,Waikato Bay of Plenty Magic,"Challenge Stadium, Perth"
3,Sunday 7 April 2013,,Northern Mystics,51 - 72,Queensland Firebirds,"Trusts Stadium, Auckland"
3,Monday 8 April 2013,,Central Pulse,55 - 49,New South Wales Swifts,"TSB Bank Arena, Wellington"
3,Monday 8 April 2013,,Melbourne Vixens,60 - 40,Canterbury Tactix,"Hisense Arena, Melbourne"
4,Sunday 14 April 2013,,Adelaide Thunderbirds,72 - 46,West Coast Fever,"Netball SA Stadium, Adelaide"
4,Sunday 14 April 2013,,Central Pulse,59 - 56,Southern Steel,"Arena Manawatu, Palmerston North"
4,Monday 15 April 2013,,Canterbury Tactix,80 - 78,Northern Mystics,"CBS Canterbury Arena, Christchurch"
4,Monday 15 April 2013,,New South Wales Swifts,53 - 61,Queensland Firebirds,Sydney Olympic Park Sports Centre
5,Sunday 21 April 2013,,Adelaide Thunderbirds,39 - 38,Melbourne Vixens,"Netball SA Stadium, Adelaide"
5,Sunday 21 April 2013,,West Coast Fever,71 - 51,New South Wales Swifts,"Challenge Stadium, Perth"
5,Sunday 21 April 2013,,Northern Mystics,69 - 68,Central Pulse,"Trusts Stadium, Auckland"
5,Monday 22 April 2013,,Waikato Bay of Plenty Magic,65 - 45,Canterbury Tactix,"ASB Baypark Arena, Tauranga"
6,Saturday 27 April 2013,,West Coast Fever,49 - 58,Melbourne Vixens,"Perth Arena, Perth"
6,Sunday 28 April 2013,,Queensland Firebirds,53 - 54,Adelaide Thunderbirds,Brisbane Convention and Exhibition Centre
6,Sunday 28 April 2013,,Central Pulse,53 - 52,Waikato Bay of Plenty Magic,"TSB Bank Arena, Wellington"
6,Monday 29 April 2013,,Southern Steel,67 - 52,Northern Mystics,"Stadium Southland Velodrome,Invercargill"
7,Sunday 5 May 2013,,Queensland Firebirds,63 - 54,West Coast Fever,Brisbane Convention and Exhibition Centre
7,Sunday 5 May 2013,,Melbourne Vixens,52 - 30,Central Pulse,"Hisense Arena, Melbourne"
7,Sunday 5 May 2013,,Northern Mystics,57 - 61,Canterbury Tactix,"Trusts Stadium, Auckland"
7,Monday 6 May 2013,,Southern Steel,60 - 55,New South Wales Swifts,"Stadium Southland Velodrome,Invercargill"
7,Monday 6 May 2013,,Adelaide Thunderbirds,45 - 33,Waikato Bay of Plenty Magic,"Netball SA Stadium, Adelaide"
8,Saturday 11 May 2013,,Canterbury Tactix,51 - 76,Queensland Firebirds,"CBS Canterbury Arena, Christchurch"
8,Sunday 12 May 2013,,New South Wales Swifts,42 - 50,Melbourne Vixens,Sydney Olympic Park Sports Centre
8,Sunday 12 May 2013,,West Coast Fever,47 - 49,Adelaide Thunderbirds,"Challenge Stadium, Perth"
8,Sunday 12 May 2013,,Northern Mystics,63 - 73,Southern Steel,"Trusts Stadium, Auckland"
8,Monday 13 May 2013,,Waikato Bay of Plenty Magic,53 - 49,Central Pulse,"Claudelands Arena, Hamilton"
9,Saturday 18 May 2013,,Southern Steel,65 - 58,Waikato Bay of Plenty Magic,"Stadium Southland Velodrome,Invercargill"
9,Sunday 19 May 2013,,Melbourne Vixens,46 - 57,Queensland Firebirds,"Hisense Arena, Melbourne"
9,Sunday 19 May 2013,,Adelaide Thunderbirds,50 - 48,New South Wales Swifts,"Netball SA Stadium, Adelaide"
9,Sunday 19 May 2013,,Canterbury Tactix,55 - 64,West Coast Fever,"Trafalgar Centre, Nelson"
9,Monday 20 May 2013,,Central Pulse,63 - 48,Northern Mystics,"Te Rauparaha Arena, Porirua"
10,Sunday 26 May 2013,,New South Wales Swifts,63 - 44,Northern Mystics,Sydney Olympic Park Sports Centre
10,Sunday 26 May 2013,,Queensland Firebirds,62 - 65,Waikato Bay of Plenty Magic,Gold Coast Convention and Exhibition Centre
10,Sunday 26 May 2013,,Central Pulse,53 - 52,West Coast Fever,"TSB Bank Arena, Wellington"
10,Monday 27 May 2013,,Canterbury Tactix,58 - 62,Adelaide Thunderbirds,"Lion Foundation Arena, Dunedin"
10,Monday 27 May 2013,,Melbourne Vixens,58 - 52,Southern Steel,"Hisense Arena, Melbourne"
11,Sunday 2 June 2013,,New South Wales Swifts,43 - 46,Adelaide Thunderbirds,"Allphones Arena, Sydney"
11,Sunday 2 June 2013,,Queensland Firebirds,47 - 53,Melbourne Vixens,Brisbane Convention and Exhibition Centre
11,Sunday 2 June 2013,,Waikato Bay of Plenty Magic,58 - 52,Southern Steel,"Energy Events Centre, Rotorua"
11,Monday 3 June 2013,,Canterbury Tactix,45 - 62,Central Pulse,"CBS Canterbury Arena, Christchurch"
12,Saturday 8 June 2013,,Melbourne Vixens,39 - 48,New South Wales Swifts,"Hisense Arena, Melbourne"
12,Sunday 9 June 2013,,West Coast Fever,47 - 72,Queensland Firebirds,"Challenge Stadium, Perth"
12,Sunday 9 June 2013,,Southern Steel,79 - 62,Canterbury Tactix,"Lion Foundation Arena, Dunedin"
12,Monday 10 June 2013,,Northern Mystics,50 - 60,Waikato Bay of Plenty Magic,"Trusts Stadium, Auckland"
13,Sunday 16 June 2013,,Queensland Firebirds,52 - 48,New South Wales Swifts,Brisbane Convention and Exhibition Centre
13,Sunday 16 June 2013,,Adelaide Thunderbirds,64 - 48,Northern Mystics,"Netball SA Stadium, Adelaide"
13,Sunday 16 June 2013,,Waikato Bay of Plenty Magic,56 - 51,Melbourne Vixens,"Claudelands Arena, Hamilton"
13,Monday 17 June 2013,,Central Pulse,73 - 59,Canterbury Tactix,"Te Rauparaha Arena, Porirua"
13,Monday 17 June 2013,,West Coast Fever,68 - 56,Southern Steel,"Challenge Stadium, Perth"
14,Sunday 23 June 2013,,Melbourne Vixens,69 - 39,West Coast Fever,"Hisense Arena, Melbourne"
14,Sunday 23 June 2013,,Adelaide Thunderbirds,54 - 52,Queensland Firebirds,"Netball SA Stadium, Adelaide"
14,Sunday 23 June 2013,,Southern Steel,64 - 73,Central Pulse,"Stadium Southland Velodrome,Invercargill"
14,Monday 24 June 2013,,Waikato Bay of Plenty Magic,68 - 40,Northern Mystics,"ASB Baypark Arena, Tauranga"
14,Monday 24 June 2013,,New South Wales Swifts,62 - 42,Canterbury Tactix,Sydney Olympic Park Sports Centre
15,Sunday 30 June 2013,,Adelaide Thunderbirds,49 - 39,Melbourne Vixens,"Netball SA Stadium, Adelaide"
15,Monday 1 July 2013,,Waikato Bay of Plenty Magic,50 - 53,Queensland Firebirds,"Claudelands Arena, Waikato"
16,Sunday 7 July 2013,,Melbourne Vixens,46 - 50,Queensland Firebirds,"State Netball Hockey Centre, Melbourne"
17,Sunday 14 July 2013,,Adelaide Thunderbirds,50 - 48,Queensland Firebirds,"Adelaide Entertainment Centre, Adelaide"
,,,,,,
